"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 15","4,333.69","4,452.80","4,483.97","4,280.95","3.86B","-2.41%"
"Feb 15","4,440.67","4,162.19","4,464.31","4,094.73","3.10B","7.04%"
"Jan 15","4,148.43","4,258.60","4,292.88","4,078.85","3.87B","-2.07%"
"Dec 14","4,236.28","4,323.95","4,332.55","4,089.09","3.63B","-2.34%"
"Nov 14","4,337.79","4,160.60","4,347.09","4,126.72","2.86B","4.32%"
"Oct 14","4,158.21","4,043.33","4,170.87","3,700.23","4.76B","2.69%"
"Sep 14","4,049.45","4,093.12","4,118.91","4,007.63","3.77B","-0.81%"
"Aug 14","4,082.56","3,886.10","4,082.97","3,845.20","2.88B","4.88%"
"Jul 14","3,892.50","3,864.14","3,997.50","3,837.16","3.46B","1.12%"
"Jun 14","3,849.48","3,740.71","3,860.65","3,707.89","3.33B","3.01%"
"May 14","3,736.82","3,589.66","3,741.57","3,506.35","3.33B","4.32%"
"Apr 14","3,582.02","3,615.91","3,676.36","3,414.11","4.10B","-0.38%"
"Mar 14","3,595.74","3,657.31","3,738.32","3,543.07","3.79B","-2.72%"
"Feb 14","3,696.10","3,524.23","3,722.38","3,418.88","3.50B","4.95%"
"Jan 14","3,521.92","3,575.60","3,634.65","3,461.64","4.05B","-1.95%"
"Dec 13","3,592.00","3,496.19","3,592.00","3,422.85","3.35B","2.99%"
"Nov 13","3,487.82","3,392.32","3,495.97","3,318.40","3.14B","3.26%"
"Oct 13","3,377.73","3,220.92","3,408.28","3,117.69","3.89B","4.96%"
"Sep 13","3,218.20","3,097.65","3,248.52","3,077.13","3.23B","4.70%"
"Aug 13","3,073.81","3,113.22","3,149.24","3,053.26","3.03B","-0.53%"
"Jul 13","3,090.19","2,933.48","3,110.01","2,913.48","3.64B","6.21%"
"Jun 13","2,909.60","2,984.59","3,007.30","2,825.18","3.86B","-2.42%"
"May 13","2,981.76","2,885.35","3,053.51","2,868.76","3.66B","3.27%"
"Apr 13","2,887.44","2,819.78","2,887.87","2,730.97","3.91B","2.44%"
"Mar 13","2,818.69","2,725.38","2,820.67","2,713.49","3.20B","2.93%"
"Feb 13","2,738.58","2,751.19","2,783.19","2,689.83","3.43B","0.26%"
"Jan 13","2,731.53","2,727.67","2,769.31","2,703.75","3.58B","2.65%"
"Dec 12","2,660.93","2,697.44","2,713.39","2,598.57","3.51B","-0.63%"
"Nov 12","2,677.88","2,661.05","2,701.91","2,494.38","3.83B","1.13%"
"Oct 12","2,647.92","2,811.45","2,845.97","2,636.83","3.64B","-5.40%"
"Sep 12","2,799.19","2,766.93","2,878.38","2,744.29","3.49B","0.97%"
"Aug 12","2,772.24","2,660.49","2,802.91","2,606.54","3.63B","4.91%"
"Jul 12","2,642.53","2,616.52","2,663.12","2,522.89","3.73B","1.02%"
"Jun 12","2,615.72","2,510.82","2,633.21","2,443.92","4.03B","3.60%"
"May 12","2,524.87","2,719.25","2,756.81","2,474.70","4.51B","-7.30%"
"Apr 12","2,723.68","2,752.25","2,795.35","2,628.96","3.82B","-1.15%"
"Mar 12","2,755.27","2,634.20","2,794.00","2,575.13","4.00B","5.04%"
"Feb 12","2,623.10","2,481.62","2,645.20","2,474.29","3.86B","6.29%"
"Jan 12","2,467.95","2,323.16","2,481.51","2,307.56","4.05B","8.35%"
"Dec 11","2,277.83","2,294.27","2,343.10","2,209.57","3.73B","-0.76%"
"Nov 11","2,295.20","2,301.11","2,402.51","2,150.71","4.50B","-2.75%"
"Oct 11","2,360.08","2,128.02","2,412.52","2,042.90","5.03B","10.33%"
"Sep 11","2,139.18","2,245.01","2,337.70","2,112.84","5.59B","-4.54%"
"Aug 11","2,241.01","2,391.42","2,396.50","2,034.92","6.93B","-5.15%"
"Jul 11","2,362.81","2,326.16","2,438.44","2,318.20","4.26B","1.62%"
"Jun 11","2,325.07","2,368.29","2,373.82","2,180.94","5.19B","-2.00%"
"May 11","2,372.54","2,410.24","2,417.83","2,298.72","4.91B","-1.31%"
"Apr 11","2,404.08","2,352.47","2,415.85","2,254.88","4.52B","2.78%"
"Mar 11","2,338.99","2,359.78","2,375.67","2,188.92","5.02B","-0.51%"
"Feb 11","2,350.99","2,298.37","2,403.52","2,284.65","4.23B","3.03%"
"Jan 11","2,281.91","2,238.66","2,336.04","2,237.73","4.20B","2.89%"
"Dec 10","2,217.86","2,150.64","2,238.92","2,150.64","3.57B","4.75%"
"Nov 10","2,117.33","2,135.57","2,200.16","2,085.27","4.54B","-0.34%"
"Oct 10","2,124.45","2,014.47","2,137.33","1,963.68","4.84B","6.33%"
"Sep 10","1,998.04","1,791.91","2,029.65","1,791.41","5.17B","13.05%"
"Aug 10","1,767.43","1,886.61","1,918.78","1,747.32","5.39B","-5.18%"
"Jul 10","1,864.00","1,741.93","1,900.15","1,700.04","5.64B","7.18%"
"Jun 10","1,739.14","1,846.60","1,939.77","1,734.90","5.97B","-6.11%"
"May 10","1,852.39","2,010.94","2,039.52","1,752.31","6.71B","-7.41%"
"Apr 10","2,000.63","1,968.44","2,059.42","1,943.97","5.34B","2.16%"
"Mar 10","1,958.34","1,826.62","1,976.38","1,826.61","5.42B","7.68%"
"Feb 10","1,818.68","1,745.91","1,830.38","1,712.89","5.08B","4.46%"
"Jan 10","1,741.04","1,882.69","1,897.49","1,734.03","5.36B","-6.41%"
